id_factura,id_producto,cantidad,precio_unitario
269,99,6,134.55
278,162,6,123.68
350,80,1,477.47
479,2,5,323.35
104,55,10,463.42
227,191,5,216.63
224,199,3,389.01
429,67,8,428.87
384,104,6,452.46
292,48,6,5.78
473,50,10,393.01
143,8,1,404.75
368,69,4,348.38
91,77,1,369.38
193,131,10,388.5
186,165,8,346.73
11,150,9,429.36
438,137,7,467.39
177,189,1,87.56
423,137,1,467.39
15,161,9,189.27
166,131,6,388.5
328,131,9,388.5
321,143,10,341.76
356,8,9,404.75
260,88,8,297.58
248,43,2,233.73
226,59,6,12.15
200,161,7,189.27
126,58,7,312.08
441,50,2,393.01
459,25,10,356.34
467,7,6,324.46
275,32,8,338.06
437,118,2,401.29
130,84,6,450.85
253,172,9,252.21
207,189,5,87.56
182,6,9,324.78
269,68,3,384.66
188,168,6,301.18
138,99,5,134.55
105,28,9,263.12
472,192,8,198.44
489,4,5,103.54
278,21,2,425.47
232,94,1,345.46
408,33,4,385.45
101,146,6,453.72
21,64,1,255.49
314,187,3,226.76
251,194,7,21.71
20,100,7,435.09
219,22,4,359.18
361,156,7,375.7
405,200,9,344.29
341,187,6,226.76
164,55,7,463.42
183,73,3,345.96
188,129,1,202.57
439,127,10,320.69
273,82,5,171.63
406,37,8,16.79
207,10,10,48.89
401,88,5,297.58
305,159,4,88.25
118,168,4,301.18
212,23,4,493.23
161,3,6,220.09
371,10,2,48.89
140,161,5,189.27
79,117,3,384.23
175,193,5,69.1
3,158,1,95.58
287,150,2,429.36
96,106,1,12.8
260,166,8,308.83
423,183,2,458.7
432,173,4,365.23
85,141,4,453.83
79,127,1,320.69
51,123,10,40.58
399,116,7,134.06
315,4,2,103.54
470,71,3,67.09
407,122,5,194.37
479,135,8,410.13
5,130,1,52.11
446,169,6,285.62
478,57,2,483.92
329,60,10,163.91
290,88,6,297.58
459,35,6,251.74
401,83,5,429.77
112,81,2,140.1
4,3,2,220.09
115,26,4,234.97
22,46,9,496.13
466,130,10,52.11
82,119,10,44.79
229,77,4,369.38
111,139,7,80.55
230,150,8,429.36
358,31,10,80.17
374,73,1,345.96
501,11,2,152.94
501,34,1,16.85
501,167,1,275.76
502,199,20,389.01
502,200,20,344.29
503,195,75,173.64
503,199,7,389.01
504,197,12,145.21
504,199,5,389.01
504,80,6,477.47
505,198,30,106.66
505,76,22,379.02
506,12,2,48.33
506,34,1,16.85
506,78,1,168.02
506,200,2,344.29
